Input Column       Output Column

003                is a prime

005                is a prime

007                is a prime

009                = 9-0 = 3^2-0^2 = (3-0)(3+0) = 3*3

011                is a prime

013                is a prime

015                = 16-1 = 4^2-1^2 = (4-1)(4+1) = 3*5

017                is a prime

019                is a prime

021                = 25-4 = 5^2-2^2 = (5-2)(5+2) = 3*7

023                is a prime

025                = 25-0 = 5^2-0^2 = (5-0)(5+0) = 5*5

027                = 36-9 = 6^2-3^2 = (6-3)(6+3) = 3*9

029                is a prime

031                is a prime

033                = 49-16 = 7^2-4^2 = (7-4)(7+4) = 3*11

035                = 36-1 = 6^2-1^2 = (6-1)(6+1) = 5*7

037                is a prime

039                = 64-25 = 8^2-5^2 = (8-5)(8+5) = 3*13

041                is a prime

043                is a prime

045                = 49-4 = 7^2-2^2 = (7-2)(7+2) = 5*9

047                is a prime

049                = 49-0 = 7^2-0^2 = (7-0)(7+0) = 7*7

051                = 100-49 = 10^2-7^2 = (10-7)(10+7) = 3*17

053                is a prime

055                = 64-9 = 8^2-3^2 = (8-3)(8+3) = 5*11

057                = 121-64 = 11^2-8^2 = (11-8)(11+8) = 3*19

059                is a prime

061                is a prime

063                = 64-1 = 8^2-1^2 = (8-1)(8+1) = 7*9

065                = 81-16 = 9^2-4^2 = (9-4)(9+4) = 5*13

067                is a prime

069                = 169-100 = 13^2-10^2 = (13-10)(13+10) = 3*23

071                is a prime

073                is a prime

075                = 100-25 = 10^2-5^2 = (10-5)(10+5) = 5*15

077                = 81-4 = 9^2-2^2 = (9-2)(9+2) = 7*11

079                is a prime

081                = 81-0 = 9^2-0^2 = (9-0)(9+0) = 9*9

083                is a prime

085                = 121-36 = 11^2-6^2 = (11-6)(11+6) = 5*17

087                = 256-169 = 16^2-13^2 = (16-13)(16+13) = 3*29

089                is a prime

091                = 100-9 = 10^2-3^2 = (10-3)(10+3) = 7*13

093                = 289-196 = 17^2-14^2 = (17-14)(17+14) = 3*31

095                = 144-49 = 12^2-7^2 = (12-7)(12+7) = 5*19

097                is a prime

099                = 100-1 = 10^2-1^2 = (10-1)(10+1) = 9*11

101                is a prime

103                is a prime

105                = 121-16 = 11^2-4^2 = (11-4)(11+4) = 7*15

107                is a prime

109                is a prime

111                = 400-289 = 20^2-17^2 = (20-17)(20+17) = 3*37

113                is a prime

115                = 196-81 = 14^2-9^2 = (14-9)(14+9) = 5*23

117                = 121-4 = 11^2-2^2 = (11-2)(11+2) = 9*13

119                = 144-25 = 12^2-5^2 = (12-5)(12+5) = 7*17

121                = 121-0 = 11^2-0^2 = (11-0)(11+0) = 11*11

123                = 484-361 = 22^2-19^2 = (22-19)(22+19) = 3*41

125                = 225-100 = 15^2-10^2 = (15-10)(15+10) = 5*25

127                is a prime

129                = 529-400 = 23^2-20^2 = (23-20)(23+20) = 3*43

131                is a prime

133                = 169-36 = 13^2-6^2 = (13-6)(13+6) = 7*19

135                = 144-9 = 12^2-3^2 = (12-3)(12+3) = 9*15

137                is a prime

139                is a prime

141                = 625-484 = 25^2-22^2 = (25-22)(25+22) = 3*47

143                = 144-1 = 12^2-1^2 = (12-1)(12+1) = 11*13

145                = 289-144 = 17^2-12^2 = (17-12)(17+12) = 5*29

147                = 196-49 = 14^2-7^2 = (14-7)(14+7) = 7*21

149                is a prime

151                is a prime

153                = 169-16 = 13^2-4^2 = (13-4)(13+4) = 9*17

155                = 324-169 = 18^2-13^2 = (18-13)(18+13) = 5*31

157                is a prime

159                = 784-625 = 28^2-25^2 = (28-25)(28+25) = 3*53

161                = 225-64 = 15^2-8^2 = (15-8)(15+8) = 7*23

163                is a prime

165                = 169-4 = 13^2-2^2 = (13-2)(13+2) = 11*15

167                is a prime

169                = 169-0 = 13^2-0^2 = (13-0)(13+0) = 13*13

171                = 196-25 = 14^2-5^2 = (14-5)(14+5) = 9*19

173                is a prime

175                = 256-81 = 16^2-9^2 = (16-9)(16+9) = 7*25

177                = 961-784 = 31^2-28^2 = (31-28)(31+28) = 3*59

179                is a prime

181                is a prime

183                = 1024-841 = 32^2-29^2 = (32-29)(32+29) = 3*61

185                = 441-256 = 21^2-16^2 = (21-16)(21+16) = 5*37

187                = 196-9 = 14^2-3^2 = (14-3)(14+3) = 11*17

189                = 225-36 = 15^2-6^2 = (15-6)(15+6) = 9*21

191                is a prime

193                is a prime

195                = 196-1 = 14^2-1^2 = (14-1)(14+1) = 13*15

197                is a prime

199                is a prime
